date,daily_electricity
2015-08-03,1254680.0
2015-08-04,1266026.0
2015-08-05,1261875.0
2015-08-06,1263709.0
2015-08-07,1285902.0
2015-08-08,1191357.0
2015-08-09,1122438.0
2015-08-10,1248603.0
2015-08-11,1278897.0
2015-08-12,1301706.0
2015-08-13,1280852.0
2015-08-14,1257873.0
2015-08-15,1195583.0
2015-08-16,1144317.0
2015-08-17,1258508.0
2015-08-18,1273123.0
2015-08-19,1303062.0
2015-08-20,1317592.0
2015-08-21,1302654.0
2015-08-22,1148266.0
2015-08-23,1035747.0
2015-08-24,1254756.0
2015-08-25,1311510.0
2015-08-26,1309119.0
2015-08-27,1274367.0
2015-08-28,1265243.0
2015-08-29,1198953.0
2015-08-30,1142972.0
2015-08-31,1301672.0
2015-09-01,1323117.0
2015-09-02,1334651.0
2015-09-03,1358339.0
2015-09-04,1319107.0
2015-09-05,1203262.0
2015-09-06,1095947.0
2015-09-07,1327988.0
2015-09-08,1352714.0
2015-09-09,1349453.0
2015-09-10,1338775.0
2015-09-11,1270684.0
2015-09-12,1174624.0
2015-09-13,1144090.0
2015-09-14,1326969.0
2015-09-15,1311638.0
2015-09-16,1345421.0
2015-09-17,1340361.0
2015-09-18,1318405.0
2015-09-19,1211360.0
2015-09-20,1128882.0
2015-09-21,1281277.0
2015-09-22,1330498.0
2015-09-23,1282344.0
2015-09-24,1303527.0
2015-09-25,1283228.0
2015-09-26,1159438.0
2015-09-27,1101309.0
2015-09-28,1289973.0
2015-09-29,1340679.0
2015-09-30,1322229.0
2015-10-01,1360539.0
2015-10-02,1354712.0
2015-10-03,1235446.0
2015-10-04,1175663.0
2015-10-05,1366907.0
2015-10-06,1390945.0
2015-10-07,1434913.0
2015-10-08,1406467.0
2015-10-09,1424470.0
2015-10-10,1279817.0
2015-10-11,1190743.0
2015-10-12,1409012.0
2015-10-13,1469652.0
2015-10-14,1500204.0
2015-10-15,1519707.0
2015-10-16,1525591.0
2015-10-17,1415984.0
2015-10-18,1344424.0
2015-10-19,1505317.0
2015-10-20,1521004.0
2015-10-21,1526285.0
2015-10-22,1510034.0
2015-10-23,1501753.0
2015-10-24,1397241.0
2015-10-25,1289747.0
2015-10-26,1495780.0
2015-10-27,1495647.0
2015-10-28,1455931.0
2015-10-29,1483260.0
2015-10-30,1484693.0
2015-10-31,1320269.0
2015-11-01,1315492.0
2015-11-02,1520673.0
2015-11-03,1559213.0
2015-11-04,1510815.0
2015-11-05,1554833.0
2015-11-06,1531781.0
2015-11-07,1340936.0
2015-11-08,1323459.0
2015-11-09,1451387.0
2015-11-10,1498732.0
2015-11-11,1403274.0
2015-11-12,1514145.0
2015-11-13,1534154.0
2015-11-14,1436023.0
2015-11-15,1360456.0
2015-11-16,1545331.0
2015-11-17,1593460.0
2015-11-18,1566378.0
2015-11-19,1592491.0
2015-11-20,1580656.0
2015-11-21,1536181.0
2015-11-22,1533526.0
2015-11-23,1705762.0
2015-11-24,1784815.0
2015-11-25,1721042.0
2015-11-26,1700323.0
2015-11-27,1763963.0
2015-11-28,1667829.0
2015-11-29,1613145.0
2015-11-30,1732529.0
2015-12-01,1706901.0
2015-12-02,1730864.0
2015-12-03,1738702.0
2015-12-04,1707434.0
2015-12-05,1630427.0
2015-12-06,1548902.0
2015-12-07,1734173.0
2015-12-08,1752838.0
2015-12-09,1695201.0
2015-12-10,1845402.0
2015-12-11,1854374.0
2015-12-12,1630386.0
2015-12-13,1597797.0
2015-12-14,1805581.0
2015-12-15,1837730.0
2015-12-16,1773011.0
2015-12-17,1736444.0
2015-12-18,1688694.0
2015-12-19,1543866.0
2015-12-20,1492588.0
2015-12-21,1632350.0
2015-12-22,1634373.0
2015-12-23,1610786.0
2015-12-24,1503818.0
2015-12-25,1372701.0
2015-12-26,1370054.0
2015-12-27,1384466.0
2015-12-28,1583959.0
2015-12-29,1545869.0
2015-12-30,1556535.0
2015-12-31,1516852.0
2016-01-01,1505425.0
2016-01-02,1564343.0
2016-01-03,1528644.0
2016-01-04,1773900.0
2016-01-05,1803807.0
2016-01-06,1745982.0
2016-01-07,1799691.0
2016-01-08,1732768.0
2016-01-09,1599255.0
2016-01-10,1568020.0
2016-01-11,1797029.0
2016-01-12,1801166.0
2016-01-13,1880148.0
2016-01-14,1874195.0
2016-01-15,1935285.0
2016-01-16,1813853.0
2016-01-17,1748897.0
2016-01-18,1952921.0
2016-01-19,1967861.0
2016-01-20,1943510.0
2016-01-21,1874462.0
2016-01-22,1803443.0
2016-01-23,1669155.0
2016-01-24,1663039.0
2016-01-25,1787353.0
2016-01-26,1742233.0
2016-01-27,1777053.0
2016-01-28,1771654.0
2016-01-29,1803796.0
2016-01-30,1648106.0
2016-01-31,1598356.0
2016-02-01,1751606.0
